City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bathsheba,13.2167,-59.5167,78.8,73,40,21.85,BB,1612061852
Avarua,-21.2078,-159.775,84.2,70,75,4.61,CK,1612061852
Jamestown,42.097,-79.2353,18.0,79,1,5.75,US,1612061821
Richards Bay,-28.783,32.0377,74.25,94,85,4.36,ZA,1612061646
Rikitea,-23.1203,-134.9692,79.38,72,0,11.52,PF,1612061852
Albany,42.6001,-73.9662,12.99,69,10,7.0,US,1612061655
Dingle,10.9995,122.6711,80.69,76,94,17.31,PH,1612061853
Bluff,-46.6,168.3333,58.14,73,99,11.43,NZ,1612061853
Khorixas,-20.3667,14.9667,67.59,57,84,4.38,NA,1612061853
Bethel,41.3712,-73.414,17.01,67,1,6.8,US,1612061629
Iqaluit,63.7506,-68.5145,-7.01,71,1,16.11,CA,1612061853
Nouadhibou,20.931,-17.0347,66.2,63,0,17.27,MR,1612061712
Kulachi,31.9286,70.4592,49.35,45,0,1.45,PK,1612061853
Yellowknife,62.456,-114.3525,-16.01,76,1,4.61,CA,1612061854
Hermanus,-34.4187,19.2345,61.0,90,2,9.51,ZA,1612061854
Kutulik,53.3508,102.7839,-26.93,82,100,12.1,RU,1612061854
Puerto Ayora,-0.7393,-90.3518,78.01,90,48,7.0,EC,1612061854
Dunedin,-45.8742,170.5036,59.0,79,100,20.0,NZ,1612061772
Anjozorobe,-18.4,47.8667,64.4,94,75,4.61,MG,1612061854
Zhangaözen,43.3,52.8,36.97,86,75,9.55,KZ,1612061854
Port Alfred,-33.5906,26.891,62.01,92,0,2.46,ZA,1612061653
Talnakh,69.4865,88.3972,-31.23,71,0,7.14,RU,1612061854
Cape Town,-33.9258,18.4232,68.0,82,75,8.05,ZA,1612061822
Tuktoyaktuk,69.4541,-133.0374,-34.6,67,40,4.61,CA,1612061854
Kruisfontein,-34.0033,24.7314,57.99,92,0,4.59,ZA,1612061855
Hambantota,6.1241,81.1185,77.0,94,20,6.91,LK,1612061855
Nikolskoye,59.7035,30.7861,24.8,93,75,4.47,RU,1612061855
Petukhovo,55.0692,67.9019,10.13,93,74,6.2,RU,1612061855
Lipari,38.4674,14.954,61.0,58,100,6.29,IT,1612061855
Busselton,-33.65,115.3333,87.01,44,0,1.99,AU,1612061856
Bintulu,3.1667,113.0333,82.4,83,20,3.44,MY,1612061856
Ushuaia,-54.8,-68.3,48.2,71,20,23.02,AR,1612061856
Batagay-Alyta,67.8006,130.4114,-33.41,80,89,2.24,RU,1612061644
Castro,-24.7911,-50.0119,64.63,96,100,4.03,BR,1612061856
Meulaboh,4.1363,96.1285,82.36,67,71,1.52,ID,1612061856
Kalabo,-14.97,22.6814,66.69,95,100,5.84,ZM,1612061856
Cherskiy,68.75,161.3,-35.21,83,0,2.01,RU,1612061856
Bengkulu,-3.8004,102.2655,75.51,87,100,5.08,ID,1612061557
Punta Arenas,-53.15,-70.9167,48.2,71,0,17.27,CL,1612061856
Lavrentiya,65.5833,-171.0,-13.86,84,65,7.49,RU,1612061857
Rosarito,32.3333,-117.0333,54.0,76,40,6.91,MX,1612061857
Bonthe,7.5264,-12.505,76.93,87,32,2.26,SL,1612061857
Vaini,-21.2,-175.2,86.0,79,75,13.8,TO,1612061857
Hithadhoo,-0.6,73.0833,81.79,79,10,13.98,MV,1612061857
Lata,40.1629,-8.3327,55.99,93,100,4.0,PT,1612061857
Kargasok,59.0556,80.8572,-22.72,84,100,11.21,RU,1612061857
Mukhen,48.1,136.1,-7.04,83,25,10.13,RU,1612061857
Kapaa,22.0752,-159.319,75.2,78,40,18.41,US,1612061768
Grand Gaube,-20.0064,57.6608,78.01,82,10,1.99,MU,1612061710
Assiut,27.181,31.1837,44.6,65,0,4.61,EG,1612061858
Mataura,-46.1927,168.8643,73.81,35,98,3.65,NZ,1612061858
Upernavik,72.7868,-56.1549,-9.8,85,80,5.32,GL,1612061858
Boundiali,9.5217,-6.4869,69.8,22,3,3.71,CI,1612061858
Airai,-8.9266,125.4092,63.7,100,100,6.35,TL,1612061858
Saint Paul Harbor,57.79,-152.4072,32.0,51,1,19.57,US,1612061858
Qui Nhon,13.7667,109.2333,74.64,82,100,12.39,VN,1612061642
Saldanha,-33.0117,17.9442,63.37,92,0,2.84,ZA,1612061858
Penzance,50.1186,-5.5371,42.8,87,90,8.05,GB,1612061858
Saskylakh,71.9167,114.0833,-33.23,83,100,10.67,RU,1612061858
Hwange,-18.3693,26.5019,67.69,91,100,2.01,ZW,1612061858
Leh,34.1667,77.5833,3.29,57,31,1.16,IN,1612061616
Hobart,-42.8794,147.3294,73.99,52,40,12.66,AU,1612061859
East London,-33.0153,27.9116,70.34,84,71,4.12,ZA,1612061859
Sitka,57.0531,-135.33,39.2,60,40,11.5,US,1612061859
Longyearbyen,78.2186,15.6401,-5.8,59,20,19.57,SJ,1612061637
San Cristobal,7.7669,-72.225,64.76,73,93,1.43,VE,1612061859
Vestmannaeyjar,63.4427,-20.2734,32.31,92,100,17.07,IS,1612061859
Waterloo,43.4668,-80.5164,18.0,86,75,5.75,CA,1612061859
Asău,46.4333,26.4,37.0,80,20,18.41,RO,1612061860
Aksarka,66.5606,67.7975,-14.89,88,100,9.01,RU,1612061860
Thompson,55.7435,-97.8558,14.0,92,90,2.3,CA,1612061860
Khatanga,71.9667,102.5,-47.29,78,40,1.7,RU,1612061860
Tarko-Sale,64.9225,77.785,-18.74,85,100,19.64,RU,1612061860
Constitución,-35.3333,-72.4167,59.0,92,21,8.19,CL,1612061860
Iki-Burul,45.8208,44.6472,30.2,93,60,15.66,RU,1612061860
Cabo San Lucas,22.8909,-109.9124,66.2,82,20,3.44,MX,1612061675
Kilindoni,-7.9139,39.6668,80.65,81,92,13.98,TZ,1612061629
Albanel,48.8832,-72.4487,-5.8,77,6,11.5,CA,1612061861
Codrington,-38.2667,141.9667,66.47,58,0,11.54,AU,1612061861
Yeniseysk,58.4497,92.1703,-34.74,80,0,3.11,RU,1612061861
Tiksi,71.6872,128.8694,-26.99,86,100,4.63,RU,1612061861
Carnarvon,-24.8667,113.6333,91.4,58,2,4.61,AU,1612061861
Mount Isa,-20.7333,139.5,102.2,22,40,11.5,AU,1612061861
Qaanaaq,77.484,-69.3632,-5.04,77,99,2.46,GL,1612061861
Baruun-Urt,46.6806,113.2792,8.19,95,100,2.82,MN,1612061861
Viedma,-40.8135,-62.9967,55.99,70,53,7.47,AR,1612061862
Kahului,20.8947,-156.47,78.8,57,40,17.27,US,1612061862
Broome,42.2506,-75.833,12.2,79,1,10.36,US,1612061862
Xining,36.6167,101.7667,20.28,67,0,3.8,CN,1612061862
Namtsy,62.7161,129.6658,-45.4,59,100,4.38,RU,1612061862
Araouane,18.9048,-3.5265,64.36,23,26,9.98,ML,1612061862
Inuvik,68.3499,-133.7218,-27.4,75,100,1.14,CA,1612061726
Udachny,66.4167,112.4,-30.5,81,100,9.91,RU,1612061862
Arraial do Cabo,-22.9661,-42.0278,76.66,83,5,25.77,BR,1612061862
Oudtshoorn,-33.5907,22.2014,62.6,88,0,3.44,ZA,1612061862
Chinchani,19.8667,72.7,72.66,41,3,6.02,IN,1612061622
Mar del Plata,-38.0023,-57.5575,61.0,51,0,18.41,AR,1612061863
Barentu,15.1139,37.5928,57.65,87,0,3.96,ER,1612061863
Narsaq,60.9167,-46.05,39.2,30,75,28.77,GL,1612061863
Cascais,38.6979,-9.4215,59.0,84,89,12.68,PT,1612061841
Kavaratti,10.5669,72.642,80.85,73,3,11.27,IN,1612061863
Sobolevo,54.4299,31.8996,17.64,97,100,5.37,RU,1612061863
Wagar,16.1525,36.2032,60.44,92,0,8.14,SD,1612061863
San Vicente,-26.6167,-54.1333,68.18,90,16,5.14,AR,1612061863
San Felipe,10.3399,-68.7425,70.34,87,83,5.48,VE,1612061864
Souillac,-20.5167,57.5167,78.8,83,20,6.91,MU,1612061864
Hīt,33.6416,42.8251,49.3,59,96,8.9,IQ,1612061864
Pevek,69.7008,170.3133,-33.2,84,4,3.04,RU,1612061864
New Norfolk,-42.7826,147.0587,73.99,38,7,3.0,AU,1612061864
Lüderitz,-26.6481,15.1594,63.77,67,0,17.02,NA,1612061864
Rome,43.2128,-75.4557,12.2,79,90,5.75,US,1612061865
Taylorville,39.5489,-89.2945,37.0,100,90,20.71,US,1612061865
Storforshei,66.4043,14.5233,5.0,80,100,5.01,NO,1612061865
Kâhta,37.7855,38.6237,37.4,100,90,28.77,TR,1612061865
Mount Gambier,-37.8333,140.7667,71.6,46,40,6.91,AU,1612061606
Provideniya,64.3833,-173.3,-8.91,83,100,14.56,RU,1612061865
Ariquemes,-9.9133,-63.0408,73.92,96,100,1.77,BR,1612061865
Malakal,9.5334,31.6605,71.4,24,24,7.52,SS,1612061865
Ames,42.0347,-93.6199,30.2,93,90,14.97,US,1612061702
Butaritari,3.0707,172.7902,81.19,79,56,18.23,KI,1612061865
Sumkino,58.1108,68.3244,13.68,96,100,9.04,RU,1612061866
Severnoye,56.3491,78.3619,-12.08,86,100,9.01,RU,1612061866
Taoudenni,22.6783,-3.9836,63.28,27,1,4.9,ML,1612061866
Kavieng,-2.5744,150.7967,83.46,73,99,14.0,PG,1612061866
Soria,41.6667,-2.6667,37.99,91,96,3.0,ES,1612061866
Olden,61.8364,6.8064,30.0,93,98,5.19,NO,1612061866
Kushima,31.4583,131.2333,53.6,47,20,4.61,JP,1612061613
Pontes e Lacerda,-15.2261,-59.3353,72.9,92,100,2.82,BR,1612061866
Timmins,48.4669,-81.3331,-2.2,84,1,2.3,CA,1612061866
Pitimbu,-7.4706,-34.8086,77.0,88,20,4.61,BR,1612061682
Zhangye,38.9342,100.4517,27.5,66,0,3.71,CN,1612061866
Chui,-33.6971,-53.4616,68.34,93,100,15.59,UY,1612061867
Ust-Tsilma,65.441,52.1498,3.87,93,100,9.33,RU,1612061867
Mahébourg,-20.4081,57.7,78.8,83,20,6.91,MU,1612061867
Hirara,24.8,125.2833,69.8,49,20,14.97,JP,1612061867
George Town,5.4112,100.3354,84.0,57,20,9.22,MY,1612061867
Aykhal,66.0,111.5,-32.3,81,100,11.79,RU,1612061867
Kysyl-Syr,63.8986,122.7617,-47.06,75,45,1.21,RU,1612061867
Kpandae,8.4689,-0.0113,77.41,71,2,4.34,GH,1612061650
Avera,33.194,-82.5271,46.4,71,40,5.75,US,1612061682
Bangolo,7.0069,-7.475,71.55,91,61,2.55,CI,1612061867
Hamilton,39.1834,-84.5333,33.01,93,90,9.22,US,1612061867
Barrow,71.2906,-156.7887,-16.6,69,90,4.61,US,1612061868
Shenjiamen,29.9576,122.298,53.71,80,75,14.83,CN,1612061629
Parfino,57.9731,31.6481,21.34,97,96,5.06,RU,1612061868
Hilo,19.7297,-155.09,78.8,57,90,9.22,US,1612061868
Hobyo,5.3505,48.5268,75.2,74,67,14.99,SO,1612061868
Saint-Augustin,51.226,-58.6502,26.76,92,100,18.79,CA,1612061868
Gujranwala,32.1617,74.1883,39.2,93,0,0.67,PK,1612061869
Geraldton,-28.7667,114.6,102.2,16,0,6.91,AU,1612061869
Vanimo,-2.6741,141.3028,85.3,68,100,10.2,PG,1612061869
Bubaque,11.2833,-15.8333,78.78,63,71,11.92,GW,1612061753
Yulara,-25.2406,130.9889,91.4,21,90,17.27,AU,1612061869
Port Hawkesbury,45.6169,-61.3485,26.01,86,90,12.66,CA,1612061702
Makīnsk,52.6292,70.4169,13.96,88,100,6.2,KZ,1612061869
Bam,29.106,58.357,54.81,48,0,10.78,IR,1612061869
Sioux Lookout,50.1001,-91.917,21.2,93,90,8.05,CA,1612061869
Laguna,38.421,-121.4238,55.4,58,90,6.24,US,1612061869
Ribeira Grande,38.5167,-28.7,62.92,93,99,19.6,PT,1612061869
Katangli,51.7102,143.2326,0.73,88,100,13.02,RU,1612061870
Oranjemund,-28.55,16.4333,59.59,92,2,7.81,NA,1612061870
Alice Springs,-23.7,133.8833,98.01,20,83,16.11,AU,1612061870
Makakilo City,21.3469,-158.0858,82.4,47,40,5.75,US,1612061870
Bredasdorp,-34.5322,20.0403,61.0,90,0,6.55,ZA,1612061870
San Quintín,30.4833,-115.95,56.98,77,0,5.75,MX,1612061870
Kununurra,-15.7667,128.7333,87.8,74,40,5.75,AU,1612061712
Yunhe,34.0833,119.7167,53.58,46,58,6.93,CN,1612061870
Manggar,-2.8833,108.2667,84.52,69,100,10.65,ID,1612061870
Dikson,73.5069,80.5464,-33.68,80,0,5.7,RU,1612061870
Saint-Pierre,-21.3393,55.4781,79.0,65,0,5.75,RE,1612061871
Talcahuano,-36.7167,-73.1167,59.0,94,0,4.61,CL,1612061871
Pisco,-13.7,-76.2167,69.8,73,0,14.97,PE,1612061662
Gushikawa,26.3544,127.8686,68.0,49,1,9.22,JP,1612061871
Chokurdakh,70.6333,147.9167,-30.1,85,18,8.5,RU,1612061871
High Level,58.5169,-117.136,-5.8,92,40,3.49,CA,1612061871
Atuona,-9.8,-139.0333,79.11,75,62,16.8,PF,1612061871
Sisimiut,66.9395,-53.6735,5.22,90,66,7.72,GL,1612061871
Wang Saphung,17.301,101.7685,75.0,77,2,7.99,TH,1612061871
Megion,61.0296,76.1136,-18.4,76,75,17.9,RU,1612061871
Isiolo,0.3546,37.5822,63.61,46,38,3.94,KE,1612061655
Vostok,46.4856,135.8833,-7.51,84,14,5.53,RU,1612061707
Vila,42.0304,-8.1588,48.0,94,100,5.01,PT,1612061872
Lagoa,39.05,-27.9833,61.72,96,98,23.15,PT,1612061872
Ouégoa,-20.35,164.4333,84.06,56,24,12.06,NC,1612061872
Maniitsoq,65.4167,-52.9,11.66,75,0,6.04,GL,1612061646
Maumere,-8.6199,122.2111,83.23,75,100,8.55,ID,1612061612
Cidreira,-30.1811,-50.2056,75.61,89,98,10.11,BR,1612061872
Chimbote,-9.0853,-78.5783,70.23,79,86,5.5,PE,1612061872
Muros,42.7762,-9.0603,55.0,90,100,5.99,ES,1612061595
Mallaig,54.2169,-111.3685,1.4,85,1,5.75,CA,1612061872
Bambous Virieux,-20.3428,57.7575,78.8,83,20,6.91,MU,1612061873
Eyl,7.9803,49.8164,73.65,73,81,14.79,SO,1612061873
Berlevåg,70.8578,29.0864,26.6,80,0,14.97,NO,1612061873
Ponta Delgada,37.7333,-25.6667,63.0,94,75,12.66,PT,1612061873
Cap Malheureux,-19.9842,57.6142,78.01,82,2,1.99,MU,1612061873
Yinchuan,38.4681,106.2731,31.89,68,0,9.06,CN,1612061873
Altay,47.8667,88.1167,11.57,76,0,3.0,CN,1612061873
Fortuna,40.5982,-124.1573,52.0,81,90,21.85,US,1612061874
Seoul,37.5683,126.9778,39.2,41,0,10.36,KR,1612061841
Inta,66.0317,60.1659,-2.67,88,100,8.03,RU,1612061874
Bedford,52.1346,-0.4663,33.01,90,64,5.01,GB,1612061756
Sabha,27.0377,14.4283,54.19,43,0,6.55,LY,1612061874
Yumen,40.2833,97.2,28.29,66,0,27.67,CN,1612061874
La Rioja,42.25,-2.5,37.99,91,55,3.0,ES,1612061874
Egvekinot,66.3167,-179.1667,-20.29,85,100,11.1,RU,1612061874
Williston,48.147,-103.618,12.99,87,1,1.92,US,1612061874
Port Lincoln,-34.7333,135.8667,68.67,60,73,13.09,AU,1612061875
Camopi,3.1655,-52.3158,72.18,98,99,2.04,GF,1612061601
Aklavik,68.2191,-135.0107,-27.4,75,100,1.14,CA,1612061875
Shimanovsk,52.0,127.7,-18.8,84,99,3.06,RU,1612061875
Matagami,49.7502,-77.6328,-2.2,84,90,3.44,CA,1612061616
Ayan,56.45,138.1667,-5.96,84,100,7.29,RU,1612061875
Santa Cruz de La Palma,28.6835,-17.7642,64.4,82,40,11.5,ES,1612061875
Esperance,-33.8667,121.9,78.8,41,0,6.91,AU,1612061875
Mogadishu,2.0371,45.3438,74.34,84,20,15.41,SO,1612061875
Rūdbār,30.15,62.6,59.92,33,2,8.08,AF,1612061875
Port Elizabeth,-33.918,25.5701,60.8,88,0,3.44,ZA,1612061875
Zhigansk,66.7697,123.3711,-45.62,74,69,3.83,RU,1612061876
Wanning,18.8003,110.3967,72.45,75,70,11.61,CN,1612061876
Bayjī,34.9311,43.487,47.66,59,96,7.85,IQ,1612061876
Torbay,47.6666,-52.7314,28.99,100,90,9.22,CA,1612061876
Brigantine,39.4101,-74.3646,28.99,63,1,3.44,US,1612061643
Santa Marta,11.2408,-74.199,84.2,54,14,11.5,CO,1612061711
Coquimbo,-29.9533,-71.3436,64.4,94,90,3.44,CL,1612061642
Namatanai,-3.6667,152.4333,84.49,66,100,13.27,PG,1612061876
Trairi,-3.2778,-39.2689,79.11,83,100,8.34,BR,1612061876
Chifeng,42.2683,118.9636,19.42,92,100,1.81,CN,1612061711
Mazagão,-0.115,-51.2894,80.6,89,75,4.61,BR,1612061877
Saint-Philippe,-21.3585,55.7679,79.0,65,0,5.75,RE,1612061877
Umeå,63.8284,20.2597,3.2,92,90,5.75,SE,1612061877
Mumford,5.2618,-0.759,78.94,90,70,8.79,GH,1612061875
Tasiilaq,65.6145,-37.6368,21.2,33,75,11.5,GL,1612061877
Ishigaki,24.3448,124.1572,71.6,49,75,13.8,JP,1612061877
Bānāvar,13.4136,76.1683,70.54,55,0,6.64,IN,1612061877
Hualmay,-11.0964,-77.6139,70.83,78,85,7.94,PE,1612061610
Port-Gentil,-0.7193,8.7815,77.02,80,100,7.31,GA,1612061874
Urupês,-21.2017,-49.29,80.6,61,0,11.5,BR,1612061878
Derzhavīnsk,51.1,66.3167,16.65,93,100,5.06,KZ,1612061878
Praxédis Guerrero,31.3667,-106.0167,53.6,17,1,5.75,MX,1612061878
Nanortalik,60.1432,-45.2371,29.14,90,100,6.55,GL,1612061878
Keetmanshoop,-26.5833,18.1333,70.75,30,0,6.78,NA,1612061878
Baykit,61.67,96.37,-33.2,76,1,1.14,RU,1612061878
Poniatowa,51.1798,22.1309,26.6,86,90,10.36,PL,1612061815
Rawson,-43.3002,-65.1023,60.64,60,18,14.36,AR,1612061878
Entebbe,0.0644,32.4469,69.8,94,20,0.51,UG,1612061607
Masuri,35.8488,128.1492,44.6,38,1,3.44,KR,1612061878
Yei,4.095,30.6779,67.26,28,12,0.81,SS,1612061878
Kilifi,-3.6305,39.8499,74.5,87,38,5.5,KE,1612061879
Iracoubo,5.4802,-53.2011,77.81,85,100,14.85,GF,1612061879
Hong Kong,22.2855,114.1577,72.0,40,0,11.99,HK,1612061583
Zharkent,44.1628,80.0,22.44,70,100,4.5,KZ,1612061879
Nioro,13.35,-15.75,72.81,17,74,6.71,GM,1612061879
Langsa,4.4683,97.9683,86.11,61,99,0.38,ID,1612061879
Itarema,-2.9248,-39.9167,78.6,84,100,10.36,BR,1612061879
Paka,4.6374,103.4368,75.2,100,40,1.14,MY,1612061879
Aswān,24.0934,32.907,51.53,46,0,7.7,EG,1612061656
Faanui,-16.4833,-151.75,82.09,68,68,7.29,PF,1612061880
Mastic Beach,40.7668,-72.8521,21.99,57,1,11.34,US,1612061880
Ilulissat,69.2167,-51.1,6.8,66,90,4.61,GL,1612061880
Chimala,-8.85,34.0167,63.73,85,100,0.38,TZ,1612061880
Marzuq,14.4,46.4667,55.87,61,0,2.48,YE,1612061880
San Patricio,28.017,-97.5169,69.8,88,1,17.27,US,1612061881
Hauterive,46.0901,3.4459,42.8,81,75,6.91,FR,1612061881
Guerrero Negro,27.9769,-114.0611,59.54,71,64,12.28,MX,1612061593
Naviraí,-23.065,-54.1906,71.28,95,100,8.32,BR,1612061881
Nemuro,43.3236,145.575,24.8,58,20,8.05,JP,1612061881
Monroe,43.1501,-77.6831,15.01,92,75,3.44,US,1612061723
Ostrovnoy,68.0531,39.5131,15.35,95,100,7.52,RU,1612061882
Devonport,-41.1667,146.35,70.0,67,93,4.0,AU,1612061882
Margate,51.3813,1.3862,39.99,61,5,4.0,GB,1612061882
Ponta do Sol,32.6667,-17.1,57.0,75,15,5.01,PT,1612061882
Los Llanos de Aridane,28.6585,-17.9182,64.4,82,40,11.5,ES,1612061882
Katsuura,35.1333,140.3,52.0,37,20,16.11,JP,1612061883
Severo-Kuril'sk,50.6789,156.125,25.18,95,100,34.52,RU,1612061883
Norman Wells,65.282,-126.8329,-27.4,75,75,2.3,CA,1612061883
Santa Margherita Ligure,44.3346,9.212,48.0,80,100,10.8,IT,1612061883
Kutum,14.2,24.6667,50.86,40,0,4.65,SD,1612061884
Marseille,43.297,5.3811,46.4,81,0,6.91,FR,1612061845
